Team,OffTotalYds,OffYardsPerPlay,Pass Yd Per Att,Rush Yd Per Att,OffCompPct,OffTD,DefYardsAgainst,DefYardsPerPlay,TOMargin,DefPassNetYardsPerAtt,DefRushYardsPerAtt,DefComplPct,DefSacks,DefAllTD,WinLossPct,MarginOfVictory
Arizona Cardinals,5499,4.8,5.1,4.3,65.2,37,5931,5.5,-5,6.2,4.5,69.8,36,52,0.235,-6.4
Atlanta Falcons,5417,5.4,6,4.9,61.9,38,6156,5.7,-4,6.8,4.4,66.3,21,41,0.412,-1.2
Baltimore Ravens,5760,5.5,5.8,5.2,61.5,34,5513,5.3,4,6.2,3.9,66.4,48,32,0.588,2.1
Buffalo Bills,6361,6.1,6.8,5.2,62.9,53,5106,5.1,0,5.6,4.3,63.5,40,32,0.813,10.6
Carolina Panthers,5206,5.3,6.1,4.6,58.4,36,5953,5.4,-4,6.3,4.3,66,35,44,0.412,-1.6
Chicago Bears,5233,5.3,5.1,5.4,59.2,37,6390,6.1,-2,7.4,4.9,67.2,20,57,0.176,-8.1
Cincinnati Bengals,5768,5.5,6.5,3.8,68.5,50,5371,5.4,6,6.2,4.2,58.9,30,32,0.75,6
Cleveland Browns,5934,5.3,5.9,4.7,62,42,5631,5.4,-1,6,4.7,60.7,34,42,0.412,-1.2
Dallas Cowboys,6034,5.4,6.4,4.3,63.8,55,5613,5.1,10,5.7,4.4,62.7,54,35,0.706,7.4
Denver Broncos,5527,5.1,5.7,4.4,60.4,29,5440,5,-1,5.6,4.3,64.8,36,35,0.294,-4.2
Detroit Lions,6460,5.9,7,4.5,65.1,54,6670,6.2,7,7,5.2,63,39,51,0.529,1.5
Green Bay Packers,5745,5.5,6.1,4.6,64.7,42,5721,5.8,2,6.5,5,65.7,34,42,0.471,-0.1
Houston Texans,4820,4.7,5.4,3.7,60.8,29,6452,5.7,-1,6.3,5.1,64.4,39,48,0.206,-7.7
Indianapolis Colts,5298,4.8,5.2,4.3,65.9,28,5678,5.2,-13,6.1,4.1,68,44,50,0.265,-8.1
Jacksonville Jaguars,6075,5.7,6.3,4.7,66.1,45,6006,5.4,5,6.4,4.2,64.1,35,39,0.529,3.2
Kansas City Chiefs,7032,6.4,7.5,4.7,66.8,61,5579,5.1,-3,5.6,4.4,65.9,55,43,0.824,7.5
Las Vegas Raiders,5993,5.7,6.3,4.8,61.3,43,6216,5.8,-8,6.7,4.5,67.6,27,48,0.353,-1.4
Los Angeles Chargers,6108,5.3,6.1,3.8,68.2,42,5884,5.9,5,6.2,5.4,61.4,40,43,0.588,0.4
Los Angeles Rams,4769,4.8,5.3,4,65.3,32,5798,5.5,-1,6.5,4.3,67.4,38,39,0.294,-4.5
Miami Dolphins,6197,6.1,7.3,4.3,63,46,5743,5.3,-7,6,4.1,66.7,40,45,0.529,-0.1
Minnesota Vikings,6145,5.5,6.2,4.1,66.7,50,6608,5.9,2,6.9,4.5,66.1,38,45,0.765,-0.2
New England Patriots,5348,5.3,6.1,4.3,66.3,39,5474,5,7,5.7,4.1,61.1,54,40,0.471,1
New Orleans Saints,5674,5.6,6.7,4.3,66,37,5352,5,-11,5.4,4.5,60.1,48,36,0.412,-0.9
New York Giants,5676,5.2,5.5,4.8,66.5,40,6089,5.6,3,6,5.2,61.4,41,37,0.559,-0.4
New York Jets,5409,5,5.6,4.2,56.9,29,5288,4.8,-7,5.4,4.2,62.4,45,31,0.412,-1.2
Philadelphia Eagles,6614,5.9,7.1,4.6,65.3,59,5125,4.8,8,4.9,4.6,62.9,70,40,0.824,7.8
Pittsburgh Steelers,5484,4.9,5.6,4.1,63.7,29,5617,5.5,4,6.5,4.2,61.3,40,37,0.529,-2.2
San Francisco 49ers,6216,5.9,7.1,4.7,66,53,5110,5,13,5.9,3.4,65.6,44,33,0.765,10.2
Seattle Seahawks,5976,5.7,6.4,4.8,69.6,44,6149,5.5,2,6.1,4.9,62.7,45,46,0.529,0.4
Tampa Bay Buccaneers,5894,5.1,5.9,3.4,66.4,32,5513,5.1,-2,5.6,4.5,63.9,45,41,0.471,-2.6
Tennessee Titans,5045,5.1,5.8,4.4,62.5,34,5978,5.4,-3,6.6,3.4,65.4,39,41,0.412,-3.6
Washington Commanders,5615,4.9,5.8,4,62.1,36,5178,5.2,-5,5.8,4.4,59.9,43,38,0.5,-1.3
