Advice,SetGoals,PayFullCC,Own,agecat,region,ABSORBSHOCK
Somewhat,Agree,Seldom,Absolutely,75up,W,Certain
Somewhat,Disagree,NAorNever,Agree,35to44,MW,Probably
Somewhat,Agree,Sometimes,Agree,35to44,W,Certain
Somewhat,Neither,Seldom,NA,35to44,South,DontKnow
Somewhat,Neither,Sometimes,Neutral,25to34,MW,ProbablyNot
Well,Neither,Always,Neutral,25to34,MW,Certain
Well,Neither,Always,Disagree,35to44,MW,Certain
Somewhat,Neither,NAorNever,NoWay,25to34,MW,CouldNot
Completely,Agree,Often,Neutral,35to44,South,Probably
Little,Agree,Sometimes,Agree,45to54,NE,Certain
Completely,StronglyAgree,Always,Disagree,18to24,W,Certain
Well,Agree,Always,Neutral,62to69,W,Certain
Well,Neither,NAorNever,Agree,18to24,South,Probably
Little,StronglyDisagree,NAorNever,NoWay,25to34,W,CouldNot
Completely,StronglyAgree,Always,Agree,25to34,South,Certain
Little,Neither,NAorNever,Neutral,25to34,South,Certain
Not,Agree,NAorNever,Disagree,18to24,W,CouldNot
Well,Agree,NAorNever,Agree,18to24,South,Probably
Well,Neither,Always,Agree,70to74,NE,Certain
Completely,StronglyAgree,Always,Neutral,62to69,South,Certain
Somewhat,Disagree,Sometimes,Disagree,35to44,W,Certain
Little,Neither,Always,Disagree,45to54,W,Probably
Well,Agree,Always,Disagree,62to69,W,Certain
Well,Neither,Sometimes,Neutral,25to34,NE,ProbablyNot
Completely,StronglyAgree,Always,NoWay,35to44,MW,DontKnow
Completely,Agree,Sometimes,Agree,75up,South,Certain
Well,Neither,Always,Absolutely,75up,South,Certain
Somewhat,Agree,Often,Agree,45to54,MW,Certain
Somewhat,Agree,Sometimes,Neutral,55to61,W,Certain
Well,Neither,Always,Neutral,75up,MW,Certain
Little,Agree,NAorNever,Disagree,35to44,NE,DontKnow
Little,Agree,NAorNever,Neutral,35to44,South,CouldNot
Little,Disagree,Seldom,Absolutely,25to34,South,ProbablyNot
Somewhat,Agree,NAorNever,Agree,25to34,MW,ProbablyNot
Well,Agree,Often,Agree,18to24,W,Probably
Somewhat,Disagree,Always,Neutral,25to34,South,CouldNot
Well,Agree,Always,Neutral,35to44,MW,Probably
Little,StronglyAgree,NAorNever,Disagree,55to61,South,CouldNot
Well,Agree,Always,Agree,62to69,W,Certain
Completely,Agree,Always,Disagree,45to54,South,Certain
